category,file,line,call_kind,object,operation,rationale
A,app/api/city/route.ts,875,from,track_stats_rolling_30d,SELECT,lecture applicative normale
A,app/api/city/route.ts,876,from,profiles,SELECT,lecture applicative normale
A,app/api/city/route.ts,877,from,comments,SELECT,lecture applicative normale
A,app/api/city/route.ts,878,from,user_follows,SELECT,lecture applicative normale
A,app/api/city/route.ts,879,from,track_events,SELECT,lecture applicative normale
A,app/api/city/route.ts,880,from,track_likes,SELECT,lecture applicative normale
A,app/api/city/route.ts,881,from,profiles,SELECT,lecture applicative normale
A,app/api/city/route.ts,882,from,profiles,SELECT,lecture applicative normale
A,app/api/city/route.ts,889,from,profiles,SELECT,lecture applicative normale
A,app/api/city/vote/route.ts,13,from,profiles,SELECT,lecture applicative normale
B,app/api/city/vote/route.ts,25,from,profiles,UPDATE,mutation applicative normale
A,app/api/city/vote/route.ts,44,from,city_events,SELECT,lecture applicative normale
A,app/api/city/vote/route.ts,64,from,city_event_tracks,SELECT,lecture applicative normale
B,app/api/city/vote/route.ts,73,from,city_event_votes,UPSERT,mutation applicative normale
A,app/api/creator/filters/route.ts,15,from,creator_comment_filters,SELECT,lecture applicative normale
B,app/api/creator/filters/route.ts,42,from,creator_comment_filters,INSERT,mutation applicative normale
B,app/api/creator/filters/route.ts,63,from,creator_comment_filters,DELETE,mutation applicative normale
A,app/api/daily-spin/route.ts,35,from,user_daily_spin,SELECT,lecture applicative normale
A,app/api/daily-spin/route.ts,57,from,ai_credit_balances,SELECT,lecture applicative normale
B,app/api/daily-spin/route.ts,64,rpc,ai_add_credits,MUTATION,mutation applicative normale
A,app/api/daily-spin/route.ts,75,from,boosters,SELECT,lecture applicative normale
B,app/api/daily-spin/route.ts,82,from,user_boosters,INSERT,mutation applicative normale
B,app/api/daily-spin/route.ts,95,from,user_booster_open_history,INSERT,mutation applicative normale
B,app/api/daily-spin/route.ts,137,from,user_daily_spin,UPSERT,mutation applicative normale
B,app/api/daily-spin/route.ts,161,from,user_daily_spin_history,INSERT,mutation applicative normale
A,app/api/discover/moods/route.ts,25,from,ai_tracks,SELECT,lecture applicative normale
A,app/api/discover/moods/route.ts,39,from,profiles,SELECT,lecture applicative normale
A,app/api/media/upload/route.ts,42,from,star_academy_config,SELECT,lecture applicative normale
A,app/api/media/upload/route.ts,67,from,profiles,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/[messageId]/reactions/route.ts,15,from,messages,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/[messageId]/reactions/route.ts,29,from,message_reactions,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/[messageId]/reactions/route.ts,37,from,profiles,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/[messageId]/reactions/route.ts,61,from,message_reactions,UPSERT,mutation applicative normale
B,app/api/messages/[conversationId]/[messageId]/reactions/route.ts,76,from,message_reactions,DELETE,mutation applicative normale
A,app/api/messages/[conversationId]/[messageId]/route.ts,15,from,messages,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,42,from,messages,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,52,from,message_pins,UPSERT,mutation applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,62,from,message_pins,DELETE,mutation applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,72,from,message_hidden_users,DELETE,mutation applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,95,from,message_hidden_users,UPSERT,mutation applicative normale
A,app/api/messages/[conversationId]/[messageId]/route.ts,103,from,message_attachments,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/[messageId]/route.ts,107,from,messages,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/participants/route.ts,17,from,conversations,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/participants/route.ts,26,from,conversations,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/participants/route.ts,48,from,conversation_participants,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/participants/route.ts,54,from,conversation_participants,SELECT,lecture applicative normale
