schema_name,relation_name,relation_kind,owner,persistence,rls_enabled,rls_forced,relation_options,estimated_rows,total_bytes,acl
auth,schema_migrations,table,supabase_auth_admin,p,t,f,,77,24576,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,sessions,table,supabase_auth_admin,p,t,f,,140,131072,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,sso_domains,table,supabase_auth_admin,p,t,f,,-1,32768,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,sso_providers,table,supabase_auth_admin,p,t,f,,-1,32768,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,users,table,supabase_auth_admin,p,t,f,,38,188416,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,postgres=ar*wdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,webauthn_challenges,table,supabase_auth_admin,p,f,f,,-1,32768,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
auth,webauthn_credentials,table,supabase_auth_admin,p,f,f,,-1,32768,"{supabase_auth_admin=arwdDxtm/supabase_auth_admin,postgres=arwdDxtm/supabase_auth_admin,dashboard_user=arwdDxtm/supabase_auth_admin,synaura_app=arwd/supabase_auth_admin}"
extensions,pg_stat_statements,view,postgres,p,f,f,,-1,,"{=r/postgres,postgres=a*r*w*d*D*x*t*m*/postgres,dashboard_user=arwdDxtm/postgres}"
extensions,pg_stat_statements_info,view,postgres,p,f,f,,-1,,"{=r/postgres,postgres=a*r*w*d*D*x*t*m*/postgres,dashboard_user=arwdDxtm/postgres}"
public,comment_reactions_id_seq,sequence,postgres,p,f,f,,1,,"{postgres=rwU/postgres,anon=rwU/postgres,authenticated=rwU/postgres,service_role=rwU/postgres,synaura_app=rwU/postgres}"
