schema_name,type_name,type_kind,owner,base_type,not_null,default_expression,enum_values,acl
realtime,messages_2026_07_31,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_01,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_02,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_03,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_04,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_05,composite,supabase_realtime_admin,-,f,,,
realtime,messages_2026_08_06,composite,supabase_realtime_admin,-,f,,,
realtime,schema_migrations,composite,supabase_admin,-,f,,,
realtime,subscription,composite,supabase_realtime_admin,-,f,,,
realtime,user_defined_filter,composite,supabase_realtime_admin,-,f,,,
realtime,wal_column,composite,supabase_realtime_admin,-,f,,,
realtime,wal_rls,composite,supabase_realtime_admin,-,f,,,
storage,buckets,composite,supabase_storage_admin,-,f,,,
storage,buckets_analytics,composite,supabase_storage_admin,-,f,,,
storage,buckets_vectors,composite,supabase_storage_admin,-,f,,,
storage,buckettype,enum,supabase_storage_admin,-,f,,STANDARD | ANALYTICS | VECTOR,
storage,migrations,composite,supabase_storage_admin,-,f,,,
storage,objects,composite,supabase_storage_admin,-,f,,,
storage,s3_multipart_uploads,composite,supabase_storage_admin,-,f,,,
storage,s3_multipart_uploads_parts,composite,supabase_storage_admin,-,f,,,
storage,vector_indexes,composite,supabase_storage_admin,-,f,,,
supabase_migrations,schema_migrations,composite,postgres,-,f,,,
