schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
public,challenge_entries,challenge_entries_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,challenge_entries,challenge_entries_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,challenge_entries,challenge_entries_challenge_id_user_id_content_type_content_key,unique,"UNIQUE (challenge_id, user_id, content_type, content_id)",t,f,f
public,city_event_participations,city_event_participations_status_check,check,"CHECK (status = ANY (ARRAY['submitted'::text, 'accepted'::text, 'rejected'::text, 'winner'::text]))",t,f,f
public,city_event_participations,city_event_participations_event_id_fkey,foreign_key,FOREIGN KEY (event_id) REFERENCES city_events(id) ON DELETE CASCADE,t,f,f
public,city_event_participations,city_event_participations_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,city_event_participations,city_event_participations_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_event_participations,city_event_participations_event_id_user_id_track_id_key,unique,"UNIQUE (event_id, user_id, track_id)",t,f,f
public,city_event_tracks,city_event_tracks_source_check,check,"CHECK (source = ANY (ARRAY['algorithmic'::text, 'curated'::text, 'submission'::text, 'winner'::text]))",t,f,f
public,city_event_tracks,city_event_tracks_creator_id_fkey,foreign_key,FOREIGN KEY (creator_id) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,city_event_tracks,city_event_tracks_event_id_fkey,foreign_key,FOREIGN KEY (event_id) REFERENCES city_events(id) ON DELETE CASCADE,t,f,f
public,city_event_tracks,city_event_tracks_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_event_tracks,city_event_tracks_event_id_track_id_key,unique,"UNIQUE (event_id, track_id)",t,f,f
public,city_event_votes,city_event_votes_event_id_track_id_fkey,foreign_key,"FOREIGN KEY (event_id, track_id) REFERENCES city_event_tracks(event_id, track_id) ON DELETE CASCADE",t,f,f
public,city_event_votes,city_event_votes_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,city_event_votes,city_event_votes_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_event_votes,city_event_votes_event_id_user_id_key,unique,"UNIQUE (event_id, user_id)",t,f,f
public,city_event_winners,city_event_winners_rank_check,check,CHECK (rank > 0),t,f,f
public,city_event_winners,city_event_winners_event_id_fkey,foreign_key,FOREIGN KEY (event_id) REFERENCES city_events(id) ON DELETE CASCADE,t,f,f
public,city_event_winners,city_event_winners_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,city_event_winners,city_event_winners_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_event_winners,city_event_winners_event_id_rank_key,unique,"UNIQUE (event_id, rank)",t,f,f
public,city_events,city_events_kind_check,check,"CHECK (kind = ANY (ARRAY['friday_drop'::text, 'challenge'::text, 'battle'::text, 'seasonal'::text]))",t,f,f
public,city_events,city_events_status_check,check,"CHECK (status = ANY (ARRAY['scheduled'::text, 'live'::text, 'ended'::text, 'resolved'::text, 'archived'::text]))",t,f,f
public,city_events,city_events_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_user_rewards,city_user_rewards_status_check,check,"CHECK (status = ANY (ARRAY['available'::text, 'claimed'::text, 'expired'::text]))",t,f,f
public,city_user_rewards,city_user_rewards_event_id_fkey,foreign_key,FOREIGN KEY (event_id) REFERENCES city_events(id) ON DELETE CASCADE,t,f,f
public,city_user_rewards,city_user_rewards_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,city_user_rewards,city_user_rewards_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,city_user_rewards,city_user_rewards_event_id_user_id_reward_key_key,unique,"UNIQUE (event_id, user_id, reward_key)",t,f,f
public,comment_likes,comment_likes_comment_id_fkey,foreign_key,FOREIGN KEY (comment_id) REFERENCES comments(id) ON DELETE CASCADE,t,f,f
public,comment_likes,comment_likes_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,comment_likes,comment_likes_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,comment_likes,comment_likes_comment_id_user_id_key,unique,"UNIQUE (comment_id, user_id)",t,f,f
public,comment_moderation,comment_moderation_pkey,primary_key,"PRIMARY KEY (comment_id, creator_id)",t,f,f
public,comment_reactions,comment_reactions_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,comment_reactions,comment_reactions_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,comment_reactions,comment_reactions_comment_id_user_id_reaction_type_key,unique,"UNIQUE (comment_id, user_id, reaction_type)",t,f,f
public,comments,comments_timestamp_seconds_check,check,CHECK (timestamp_seconds IS NULL OR timestamp_seconds >= 0::numeric),t,f,f
public,comments,comments_track_id_fkey,foreign_key,FOREIGN KEY (track_id) REFERENCES tracks(id) ON DELETE CASCADE,t,f,f
